id,title,image_url,category,date_available
20250801,20250801,https://mypicpuzzles.netlify.app/Art/20250801.png,Art,2025-08-01
20250802,20250802,https://mypicpuzzles.netlify.app/Art/20250802.png,Art,2025-08-02
20250803,20250803,https://mypicpuzzles.netlify.app/Food/20250803.png,Food,2025-08-03
20250807,20250807,https://mypicpuzzles.netlify.app/Food/20250807.png,Food,2025-08-07
20250810,20250810,https://mypicpuzzles.netlify.app/Food/20250810.png,Food,2025-08-10
20250811,20250811,https://mypicpuzzles.netlify.app/Food/20250811.png,Food,2025-08-11
20250812,20250812,https://mypicpuzzles.netlify.app/Food/20250812.png,Food,2025-08-12
20250814,20250814,https://mypicpuzzles.netlify.app/Food/20250814.png,Food,2025-08-14
20250725,20250725,https://mypicpuzzles.netlify.app/Landmarks/20250725.png,Landmarks,2025-07-25
20250726,20250726,https://mypicpuzzles.netlify.app/Landmarks/20250726.png,Landmarks,2025-07-26
20250729,20250729,https://mypicpuzzles.netlify.app/Landmarks/20250729.png,Landmarks,2025-07-29
20250730,20250730,https://mypicpuzzles.netlify.app/Landmarks/20250730.png,Landmarks,2025-07-30
20250816,20250816,https://mypicpuzzles.netlify.app/Nature/20250816.png,Nature,2025-08-16
20250809,20250809,https://mypicpuzzles.netlify.app/Others/20250809.png,Others,2025-08-09
20250815,20250815,https://mypicpuzzles.netlify.app/Others/20250815.png,Others,2025-08-15
20250819,20250819,https://mypicpuzzles.netlify.app/Others/20250819.png,Others,2025-08-19
20250808,20250808,https://mypicpuzzles.netlify.app/Pattern/20250808.png,Pattern,2025-08-08
20250813,20250813,https://mypicpuzzles.netlify.app/Pattern/20250813.png,Pattern,2025-08-13
20250727,20250727,https://mypicpuzzles.netlify.app/Pets/20250727.png,Pets,2025-07-27
20250728,20250728,https://mypicpuzzles.netlify.app/Pets/20250728.png,Pets,2025-07-28
20250805,20250805,https://mypicpuzzles.netlify.app/Pets/20250805.png,Pets,2025-08-05
20250806,20250806,https://mypicpuzzles.netlify.app/Pets/20250806.png,Pets,2025-08-06
